43.2,5348,8263,39406,1379023,1,1,255,0,82.10602094,8.868687403,110.4197831,32.64678148,117.1944652,35.78179657,197.7225131,41.71467962,197.7225131,41.71467962,110.0102842,75.43030902,52.74719521,26.64699803,90.25373972,20.6337258,86.73485415,28.18340778,88.82049364,25.38552442,0,5348,0,0,0,39406,0,8263,5253,95,7,1433,11648,14080,8825,2786,607,20,0,5772,2491,1998,3350,2,610,4706,8068,8318,13333,4330,39,0,6332,1931,48,3047,2253,0,0,71,5934,8885,13663,10801,49,3,12,320,6174,1624,112,21,0,1,688,4659,0,167,685,743,1394,4207,13489,18721,1,582,7680,0,265,3163,1920,0,3,252,532,567,745,1473,3845,9996,21993,1,1372,6890,1530,1830,1988,33858,5232,316,710,4794,2759,1536,3812,32734,6672,1576,6687,134,5214,74,39332,2753,5510,0,1153,4195,282,39124,2822,5369,72,392,4956,125,39281,3907,4345,11,0,100,0,0,0,0,0,0,0,1358
50.9,11152,7297,15596,1855921,1.016568661,1,255,0,99.88997489,10.07232388,96.45606169,13.51212673,141.8787661,32.07370907,108.6116386,53.79652001,108.6116386,53.79652001,67.02573529,50.27636617,29.5840208,12.54432826,103.1225789,13.97397377,97.15396341,14.87039831,100.1273314,14.45972947,0,11152,0,0,0,15596,0,7297,5940,5212,0,0,0,501,8454,6565,76,0,0,3342,3955,4278,6874,1,14385,1210,0,0,0,0,0,0,817,6480,2,2339,8811,0,1,4116,11230,249,0,0,0,0,0,3,824,2906,3529,35,0,2138,6192,2822,7156,3827,3193,1222,192,6,0,0,5774,1264,259,1621,5008,4283,240,6625,1484,3371,2521,1188,362,44,1,0,0,5949,1179,169,4683,5530,939,12989,2500,107,6708,578,11,8286,2866,6667,8929,7272,25,3,11149,2798,12798,0,6033,1264,94,11058,12580,3016,0,3250,4047,18,11134,9651,5945,0,5839,1458,82.76145132,14.05352159,1.116401248,0,2.068625841,0,0,0,0,425
49.1,3010,4163,34090,1360000,1,1,255,0,118.5727575,23.16763484,87.20465116,25.97609873,79.82657807,26.68232845,123.9465433,60.07843739,164.166113,33.20092484,166.3222591,69.40159503,59.04717608,21.83856676,73.71162791,11.52525069,67.12026578,12.34268188,68.41229236,11.71256714,0,3010,0,0,0,34090,0,4163,692,2318,0,0,122,1566,5980,9806,8466,6603,1547,387,3776,1533,1477,0,947,26111,6056,975,1,0,0,0,1388,2775,304,2533,173,0,0,7466,23664,2952,8,0,0,0,10,267,3566,273,16,7,24,536,1243,1231,1200,8427,13767,8456,2109,131,0,0,204,1186,2773,1,363,2428,218,381,24,37,38,101,383,1610,10678,17815,3023,7,1554,2602,201,961,1848,9059,22414,2617,88,836,3239,426,2584,22326,11764,1149,3014,233,2777,105,33985,2498,1665,0,1553,1457,2495,31595,1954,2187,22,1276,1734,821,33269,3491,670,2,0,24.89288775,74.07883462,0,1.028277635,0,0,0,0,510
54.3,4495,1582,53849,1708135,1,1,254.9946607,0.316393738,128.683871,15.13131794,84.3461624,10.42726915,122.9559511,19.76208783,63.18796166,28.88876127,229.9552836,22.18629909,51.30478309,29.28059109,55.51034483,23.49658986,75.31501669,10.8742042,70.14104561,12.35564242,70.42135706,11.55704058,0,4495,0,0,1,53848,0,1582,83,4412,0,1,89,3135,15768,21080,11341,2303,132,15,1567,3628,867,0,2025,30246,21320,258,0,0,0,0,1273,309,0,1654,2841,0,0,6,358,11816,20954,17227,3256,232,0,0,49,1171,350,12,0,1624,2871,0,16206,21896,11801,3478,443,25,0,0,801,781,0,0,2,658,3835,235,16,30,32,63,190,493,1512,6264,45014,0,1,1581,2260,2235,0,41961,11222,666,857,723,2,996,3499,40587,13262,546,1036,179,4316,620,53229,179,1403,0,1451,3044,2025,51824,87,1483,12,1100,3395,1820,52029,354,1228,0,0.63810392,99.36189608,0,0,0,0,0,0,0,454
64.4,16370,11510,10601,1280476,1.256813407,1,254.9998167,0.02344752,144.3875382,15.73066472,100.4279169,28.83352976,106.0808186,16.03898223,113.8015232,64.95296499,140.1408064,59.63443343,125.1596823,65.40422512,41.23378131,20.21152472,82.90873549,14.26633216,76.52406842,14.67543042,79.07061698,14.12223842,0,16370,0,0,0,10601,0,11510,40,16330,0,0,3,17,146,743,1636,1978,6078,29,11481,8329,8041,172,5871,4400,156,1,1,0,0,0,1987,9523,43,12251,4076,16,520,3525,4445,1949,143,3,0,0,2,10,624,5801,4153,871,49,3169,7439,5762,1595,2458,2655,1916,1212,606,143,16,6954,3742,814,1855,2511,11295,709,772,30,73,146,427,1552,2845,2934,1322,500,201,2789,8520,2310,7795,6265,3119,6189,1293,8132,2747,631,6865,9505,1643,8958,11281,229,363,16007,257,10344,562,10490,458,2014,14356,6996,3605,158,9976,1376,649,15721,3041,7560,367,10670,473,100,0,0,0,0,0,0,0,0,710
65.1,4741,1717,22977,1569982,1,1,255,0,136.6131618,9.47319713,119.0634887,7.270219729,128.2197849,12.67472804,150.19817,35.73826717,150.19817,35.73826717,113.2750475,49.42151289,33.52604936,11.27150577,85.05062223,15.09656576,80.78464459,10.88434716,81.4800675,12.14194674,0,4741,0,0,0,22977,0,1717,0,4741,0,0,2,45,469,3490,8602,6398,3971,2,1715,28,4713,0,90,3551,7254,9833,2242,7,0,0,0,1717,0,667,4074,0,0,18,2415,5299,8095,7100,50,0,0,2,324,1199,192,0,0,20,2181,2540,5543,11398,4413,1200,334,86,3,0,309,974,434,8,1174,3410,149,2254,7502,8103,3306,1157,444,160,48,3,0,371,1088,258,473,3088,1180,20243,2669,65,255,1113,349,3014,1727,16266,6711,1684,33,60,4681,7,22970,429,1288,0,156,4585,335,22642,0,1717,0,169,4572,33,22944,273,1444,0,0,0,0,0,0,0,100,0,0,407
22,44010,40835,65546,1579622,1,1,254.9879346,0.520885421,132.8865031,22.17063796,147.1237446,34.46894621,176.9872529,50.12753664,23.52021734,27.53817307,23.52021734,27.53817307,10.25689616,18.09073348,29.45473756,25.945927,151.2947057,34.73831161,148.4742104,39.83831624,151.483731,37.56737556,0,44010,0,0,0,65546,0,40837,5117,38893,2,1208,16985,31504,11749,3277,402,136,283,21113,19724,2104,41906,47,8110,27029,21643,8572,136,9,0,0,40837,0,151,7086,36773,15,319,24412,20288,16259,4032,152,36,33,3126,25045,9740,2314,579,32,1,38919,4761,330,33908,22949,6982,1372,295,39,1,0,25245,14236,1356,37374,6011,568,57,20416,23303,15032,4885,1368,418,104,19,1,0,26670,13664,503,41787,2201,22,60893,4541,112,22086,17552,1199,31072,12938,28200,37346,23777,17060,995,43015,3219,62327,24659,15173,1005,2191,41819,12901,52645,14166,25548,1123,1392,42618,7828,57718,24735,15533,569,96.0252088,0,0,1.277679871,0,2.697111332,0,0,0,1504
66.9,6075,2078,22486,1637322,1.54483521,1,254.9947325,0.410560191,96.9055144,8.567362368,111.6217284,12.54121117,106.2964609,17.07436462,222.0116872,24.74130284,222.0116872,24.74130284,39.13547325,34.47562286,23.07539095,8.3554303,88.38419753,9.712099347,89.64279835,9.920600761,89.76312757,9.739580272,0,6075,0,0,0,22486,0,2078,3968,2107,0,8,1386,6223,11032,3651,185,1,0,1974,104,346,5729,0,602,11712,7917,1945,310,0,0,0,7,2071,0,4639,1436,0,18,4029,10949,5130,2238,122,0,0,0,347,1216,487,28,0,0,0,65,6010,12,0,22,218,1203,5680,10408,4943,0,132,1946,0,13,1832,4230,11,1,0,15,128,381,1645,5297,8716,6292,0,194,1884,4629,1317,129,14956,7106,424,2005,68,5,5632,443,18670,3816,2078,0,0,6075,310,22176,1,1711,366,1,6074,1201,21285,0,1125,953,1,6074,683,21803,0,1603,475,14.56400742,65.83178726,6.153370439,0,13.45083488,0,0,0,0,502
63.3,26104,22881,96982,1632575,1,1,254.1616227,5.090496646,91.33669169,11.36940511,110.2909516,14.92703168,113.4893886,21.03666152,206.348031,36.93173016,206.348031,36.93173016,57.91009041,43.63720484,37.82443304,19.47800233,76.22494637,16.77670884,68.54233068,15.39740734,71.4944453,15.57504076,0,26104,0,0,0,96982,0,22881,20723,5381,3,1148,15244,32957,28897,14182,3847,687,17,8092,14789,2405,23699,5,2325,24348,35217,28788,6048,251,0,0,16753,6128,3,16232,9869,0,0,399,12475,25107,29628,26406,2962,5,1,472,13641,8541,220,6,0,84,1770,24250,6851,251,459,1000,3533,13891,35441,35556,5,1717,21159,83,662,12809,12550,6749,182,218,370,622,1558,4313,12720,27119,43131,5,3206,19670,13040,11960,1104,87700,8844,438,9963,11662,1256,13529,12575,61448,35534,15525,7356,4393,21711,959,96023,13765,9115,1,12463,13641,12760,84222,12465,10414,2,8618,17486,5262,91720,16362,6519,0,0.785488246,92.03209765,1.384493671,0.203435805,5.594484629,0,0,0,0,272
60.6,5590,9765,30621,1561933,1,1,255,0,103.3348837,23.67657628,129.7139535,40.37553102,111.1719141,29.05442413,72.30226606,29.25448095,72.30226606,29.25448095,67.67495528,41.9696454,32.1667263,21.48100648,102.9810376,24.87621165,96.59284436,27.99489165,98.77942755,26.69132326,0,5590,0,0,3,30618,0,9765,2771,2819,63,346,910,1769,3301,5299,7519,8174,3240,9177,588,1319,4271,20,4011,12443,9541,2811,1104,473,135,83,18,9747,81,3114,2395,0,3,80,8022,12626,7940,1730,171,49,1727,783,1535,4797,914,9,0,1202,4240,148,11095,14881,3883,680,73,9,0,0,8288,1428,49,598,4683,307,2,2217,15741,9087,2715,691,140,24,6,0,0,8595,1145,25,2193,3010,387,25392,5124,105,8767,895,103,3678,1912,7857,22764,9692,73,36,5554,216,30405,31,6270,3464,730,4860,14990,15631,0,4793,4972,462,5128,6105,24516,6,6282,3477,0,66.49946256,33.10641347,0.214976711,0.179147259,0,0,0,0,707
